State/Province ,City ,Zip Code,Climate Zone ,Project Name,Type of Geothermal System ,Site Type ,Size/Capacity,Project Status ,Users ,# of Households Served,# of Population Served,Buildings Connected ,Design Heating Load ,Design Cooling Load ,"Building Details (For each type of building): Renovated building? If yes, previous heating/cooling system used. ",Heat Pump/Heat Exchanger Unit ,Thermal Resources Details: ,Distribution System Details: ,Backup Generation,Ownership Model,$ Cost ,Funding Sources,"Subscription Information (Hookups, fees, rates) ",Emissions Savings (GHG) ,Operational Successes ,Additional Information,Site Contact,Referenced Sources,Other Notes (Not for publishing)
Nevada,Elko ,,,Elko District Heat,GDH,Commercial and Public,"18 buildings, ",Unable to find recent confirmation of operation. First well was drilled 1979.,Mixed: commercial and public buildings.,N/A ,N/A ,19,Unknown,N/A ,Yes. ,GSHPs. Plate and frame heat exchanger. ,"1 geothermal well, drilled to a depth of 869 feet. Hot water is produced by the well at 177F. ",Total 9.358 feet distribution system of primarily asbestos concrete construction. ,Unknown,Private Utility. ,"$1.1M total capital cost. $281k (not included in the calculation of the total capital cost) was spent on building retrofits for three customers on the system, undisclosed amount for subsequent retrofits.","U.S. DOE Field Experiments for Direct-Uses of Geothermal Energy: $827,000","Customers are billed based on the gallons used: in 2004, rate was set for $1.50/1,000 gallon. ",Unknown ,"No numbers were available for customer savings. It was noted that the project achieved success in reaching a broad customer base: while the system was originally designed with 3 in mind, the final number of connected customers was 19. ",Unknown ,Unknown ,1. Elko Heat Company District Heating System (2004) ,
Nevada,Reno,,,Manzanita Estates and Warren Estates ,GDH,Residential ,Total: 110 homes. These are two separate district loops.,Decommissioned. Began operating in 1982. ,Residential ,110,Unknown,110,Unknown,N/A ,"No. At the time the geothermal system was designed, these housing developments were newly constructed. ","GSHP, one unit for each residential building. ",Two production wells drilled in 1982 and 1985. One injection well drilled in 1985. ,Total 3 mile distribution loop. ,Unknown,Private: Public Utilities Commision of Nevada,$1.4M total capital cost. Approx. $90k operating costs. ,Unknown,Unknown ,Unknown ,"No numbers were available for customer savings. In 2007, Nevada State legislation granted the system energy credits, which allowed the system to gain another source of revenue. ","It is not clear whether the entire system is decomissioned, or if it's only the geothermal system for specific houses. ",Public Utilities Commission of Nevada,"1. Avalon Geothermal shuts down heating system, 75 Reno homes impacted (2024) 2.  U.S. Geothermal District Heating: Barriers and Enablers (2008) ","Nevada has great geography for geothermal. Could be interesting to see if for certain geographic locations, specific geothermal systems are preferrable "
New Mexico,Gila Hot Springs ,,,Gila Hot Springs Ranch,GDH,Mixed: Residential and Commercial,"15 buildings, 100,000 square feet ",Operating. Operation began in the 1980s. ,Mixed: commercial and residential. ,Unknown ,Estimated 30 year-round residents. ,15,2.1 MMBtu/hr ,N/A ,Unknown.,GSHP. ,1 production well with production of up to 100 gpm or 140F water. ,6 mile distribution line. ,Most houses on the system have a private back up system. Propane generator as back-up source of power. ,"Community owned. The community founded an S-Corporation (generally exempt from federal income tax other than tax on certain capital gains and passive income) and shares were solde to users.There are no user fees, but everyone chips in with maintenance and retrofits. ",Unknown,Unknown,"No user fees, all users will chip in for maintenance and retrofits. ",Unknown,"Estimated annual savings of $54,000k ",The geothermal resource is also used as the communities' source for potable water. The quality of the water is clean and free of minerals. ,Unknown,1. New Mexico Earth Matters (2006) 2. U.S. Geothermal District Heating: Barriers and Enablers (2005) ,
New Mexico,Las Cruces ,,,New Mexico State University,GDH,College campus ,30 buildings. ,"Decommissioned. Operation began in 1982, the buildings are now heated with natural gas instead. ",Commercial,N/A ,Unknown,30,10.5 GWh/yr ,N/A ,Yes. ,GSHP,"2 production wells, providing 250 gpm of 140F water. One injection well.",Unknown,Unknown,Private ,Unknown,Design and construction may have been funded by New Mexico State Legislature ,,Unknown,Unknown,"The system was decommissioned in 2003 due to issues with maintenance and poor engineering. There was inadequate flow of hot water along with excessive sand in the pumped water, causing problems in the distribution network and unreliable service. ",Unknown,1.  U.S. Geothermal District Heating: Barriers and Enablers (2005)  2.  U.S. Geothermal District Heating Data,
Oregon,Klamath Falls ,,,City of Klamath Falls DH ,GDH,"Mixed: commercial, non-profit, and government facilities","23 buildings, and geothermal sidewalk and bridge snow melt systems.",Operating. Operation began in 1984. ,Commercial,N/A ,Unknown,23,Unknown,N/A ,Yes. ,Heat exchanger,"2 production wells: the first well at 334 feet, the second well at 367 feet. 1,200 gpm, 210F water provided. ",2 miles of 8-inch and 12-inch supply and return pipeline. ,All buildings are required to have a backup system. ,Municipality owned. ,Total capital costs: ~$2.58 million. ,"PON program: $2M. Community Development Block Grant: $300,000. Orgeon State incentive programs for retrofits: Business Energy Tax Credit (a 35% tax credit available to taxable entities that connect to the system) and a Small Energy Loan Program that will loan the cost of connection to the potential geothermal customer. Klamath falls also offers incentives to new customers, providing a year of free heating and several years of discounted heat that is negotiated. ","Rates were set at 80% of natural gas prices, which are now 70% as natural gas prices rise. ",N/A ,"Noted by the City Manager that geothermal heating is more efficient than gas heating, as the net effective cost of geothermal heating is about half of what gas heating costs are. The return heat from the system is also used to heat streets, saving money on snow removal.","The system has been breaking even for the last couple of years. Before that, it was subsidized by the city that provided maintenance manpower from the City’s sewer and water divisions. Even though the system is no longer run at a loss, the current revenue is
not enough to cover projected capital needs. Nevertheless, the City believes that the resource is valuable enough to keep using it. ",CityPublicWorks@klamathfalls.city,1. U.S. Geothermal District Heating: Barriers and Enablers (2008)  2. City of Klamath Geothermal ,
Oregon,Lakeview ,,,Lakeview Prison,GDH,Commercial ,"1 building, 117,000 square feet.",Operating. Operation began in 2005. ,Commercial ,N/A ,400 bed correctional facility. ,1,Unknown ,N/A ,Yes. Propane. ,Heat exchanger,"1 production well, 600 feet deep, producing water at 206F at about 140 gpm. 1 injection well. ",Unknown,Propane boiler.,Owned by town of lakeview. ,Total capital costs: $1.2 M. ,"State of Oregon: paid for most of the geothermal system development as an economic development project for Lakeview. Business Energy Tax Credit, which amount to about 35% of the investment. Although the town is a municipality and does not pay taxes, the credits are resalable to the market and were sold to COSTCO for $409,000. ",The correctional facility pays reduced heating rates. ,Unknown,"The town supplemented the capital costs to oversize the system's capacity to enable expansion of the system in the future. The facility staff estimated that the geothermal system saves them about $180,000 annually, and the savgings may have also been greater than that. The income from the correctional facility covers the operational costs for the system. The town also received an Oregon Energy Trust Grant to do a feasibility study of producing electricity from the geothermal well used for the district heating system. ","In 2024, the town was selected by the Oregon DOE to receive Community Renewable Energy Grant Program funds and was awarded $100,000. They are exploring the connection of multiple existing thermal energy networks and future ones. ",Town of Lakeview,"1. U.S. Geothermal District Heating: Barriers and Enablers (2008)  2. Lakeview, Oregon awards geothermal consultancy contract to Jacobs (2024) ",
Oregon,Lakeview ,,,Lakeview District Hospitals and Lakeview Schools ,GDH,Commerical ,6 buildings,Operating. Operation began in 2013.,Commercial and public. ,N/A ,N/A ,"6, 5 schools and 1 hospital",Unknown ,N/A ,Yes. Boilers that were powered by fuel oil and propane. ,Heat exchanger,Unknown,"20,000 feet of piping. ",Unknown,Owned by town of lakeview. ,Total capital cost: unknown. ,"40-year, $2.665 million USDA Rural
Development Community Facilities Direct Loan. ",N/A ,"Reduces carbon emissions from Lakeview school buildings, along, by 800 tons each year. ","Based on current fuel prices, it was estimated that the Lake Health District can save $200,000 and the school district may save approximately $150,000 per year on fuel costs for heating.The hospital plans to fund a new MRI with the savings they have already achieved through the adoption of this renewable energy system, and the school district will reinvest its savings into additional resources and teachers for its students.  ","The low interest rates from the USDA program will allow the community to save approximately $350,000 annually after loan payments. It was also anticipated that the system was designed to have the capacity to accommodate other local users in the future. ",Town of Lakeview,"1. U.S. Geothermal District Heating: Barriers and Enablers (2008)  2. Small Town Reduces Energy Costs, Air Pollution with Geothermal Heating (2014)",
Oregon,Klamath Falls ,,,Oregon Institute of Technology ,GDH,College Campus ,"12 buildings, 763,400 square feet. ","Operating. Operation began in 1960s, system is going through renovations. ",Private institution ,N/A ,Unknown,12,Unknown,Unknown,Yes. Past system was dependent on oil and gas. ,Heat exchanger,"3 production wells between 1200 and 1800 feet (365 and 550 m) deep were drilled, producing 192F water at a maximum flow of 600 gpm (38 L/s). 2 injection wells. Absorption chiller for cooling. ",Unknown,"Used to have a backup boiler, but that system has been removed. ",Private,"Total capital cost: unknown. Annual operating costs: $50,000.","Original system, unknown. For renovations of the geothermal system, state bond funding of $18.2M",N/A ,Unknown,Estimated annual savings of $1.3M. There have also been plans to expand to other geothermal projects. ,N/A ,John Lund,1. U.S. Geothermal District Heating: Barriers and Enablers (2008)  2. Oregon Tech awarded $18M for geothermal project (2023) ,
South Dakota,Midland ,,,Midland District Heat ,GDH,"Mixed: Commercial, Public, and Residential","~12 buildings, added incrementally","Operating. Operation began in 1969. (As of 2008, unable to find more recent sources) ","Mixed, residential and commercial. ",1,Unknown ,~12,Unknown,N/A ,Yes. Most of the buildings had to be retrofitted at the time of connection. ,GSHPs.,"1 production well, 3,300 feet deep and produces 180 gpm. ",Unknown,"Some buildings have a backup system, but there is no requirement. ",Town owned. ,"Capital cost unknown. Annual operating costs of $1,800. ","Received federal assistance, including a Farm Home Administration grant to construct the system. ","First three years: flat fee of $150 per year. After that, the rate increase to $300 per year. If a building owner operates more than one building on the system, he/she pays half price for the second building. ",Switched the town away from propane and fuel oil. ,Unknown,"The buildings that are connected include two school buildings, a church, campground buildings and pool, car wash, four downtown buildings, and about 12 residential buildings added to the system in 2002. ",Unknown,1. Geo-heat Center Quarterly Bulletin (2012) 2.   U.S. Geothermal District Heating: Barriers and Enablers (2008) ,
South Dakota,Philip ,,,Philip District Heating ,GDH,Mixed: Commerical and Public ,"14 buildings, over 50,000 square feet. ","Operating. Operation began in 1982, expanded to include a local hospital in 2012. ",Commercial ,N/A ,Unknown,14,Unknown,N/A ,Yes. Exact system was unspecified. ,GSHPs. ,"1 production well, 4,200 ft with maximum flow of 340 gpm.",Unknown,Unknown,Community owned ,$1.2M.,77% was paid by the U.S. DOE as a cost share project. ,"Monthly rate paid to the school for hot water is $6,500, split among district members based on use. ",Unknown,Unknown,Other entities in town had expressed interest in joining after rising propane prices. The system runs on a seasonal basis: it is shut off at spring and turned back on in the fall by the school janitor. ,Unknown,1. U.S. Geothermal District Heating: Barriers and Enablers (2008)  2. Geothermal Use in the Dakotas (2012),
Colorado,Pagosa Springs ,,,Pagosa Springs District Heating,GDH ,Community ,32 buildings ,"Operating. Original system, including geothermal wells, heat exchanger, and distribution piping network, was constructed in 1981. Since then, there has been minimal changes, outside of some pipe connection replacements. As of 2020, there are suggestions to upgrade the distribution network, heat exchangers, and geothermal wells. ",Residential ,32,Unknown,32,Unknown,Unknown,Yes. Original geothermal heating system was constructred in 1982. ,HE. Temperature sensors replaced in 2019. ,"Three geothermal wells in total. Two are in active use, with one having not been in operation in years. ","3.4 miles of distribution and return lines. Piping is Transite, a concrete-asbestos composite. ",Unknown,Thermal utility,Total: $4M (FY2020),Unknown,"Tap fee: $5,000. 2024 residential rate: $61.20/month. 2024 commercial rate: based on square footage. ",Unknown,The system utilizes the regions abundant geothermal resources. ,"Potential improvements to the existing system, running close to its end date, included looking into drilling new wells, making a reinjection system. The best option was to add insulated piping to increase system capacity by about 10 customers. The system only operates during months when heating is necessary, around October to April. ",Pagosa Springs Public Works Director: 970-264-4151,"1. Town of Pagosa Springs Geothermal Heating District 2.  Pagosa Springs Agenda Brief, Geothermal Report (2020) ",
Idaho,Boise ,,,Boise City District Heating,GDH ,Community ,"91+ buildings, 6,000,000+ square feet ","Operating: System operation began in 1980s, ","Mixed: residential, commercial, and potentially connected to the local University. ",Unknown,Unknown,91,Unknown ,Unknown,Yes. Conventional fossil fuel or hydropower electric heating.,Unknown,"Three wells, 2,300 foot depth, production tempeartures of 165-177 degrees F. ",4.5 miles. ,Unknown,Municipal owned thermal utility,Unknown,Unknown,Unknown,Replaced typical fossil-fuel or hydropower-generated electricity.,"An injection well was completed in 1999 to address concerns about aquifer decline, which restored water elevation. This allowed for the City of Boise System to expand to the Boise State Univeristy Campum, where 9 buildings are connected with additonal in the planning stage. ","A third well, drilled but not used since the 1980s, is being considered for use. ","City of Boise, Department of Public Works.",1. The Nation's Oldest and Largest Geothermal District Heating System (2017)  2. City of Boise Geothermal District Heating System (2006) ,
Idaho,Boise ,,,Fort Boise Veteran's Hospital,GDH ,Government facility ,"19 buildings, 500,000 square feet. ","Operating: System operation began in 1980s, ",Mixed: residential and commercial ,Unknown,Unknown,19,Unknown,Unknown,Yes. Conventional fossil fuel or hydropower electric heating.,Unknown,Two wells: one production and one injection well. Production well produces at temperature of 161 to 167F. Injection well temperatures range from 134 to 140F. ,Unknown,Unknown,Municipal? ,Unknown,Unknown,Unknown,Replaced typical fossil-fuel or hydropower-generated electricity.,Unknown,"Second injection well is being explored to allow for the future expansion of the system. There are over 50 buildings in the VA Hospital Complex, of which many could be retrofitted to connect to the geothermal system. ","City of Boise, Department of Public Works.","1. The Nation's Oldest and Largest Geothermal District Heating System (2017)  2. Production, temperature, and water level data for the four heating systems in the Boise Front Low Temperature Geothermal Resource Area, 1977-1997",
Idaho,Boise ,,,Idaho Capitol Mall,GDH ,Commercial ,"12 buildings, 800,000 square feet ","Operating: System operation began in 1980s, ",Commercial ,N/A ,Unknown,12,Unknown,Unknown,Yes. Conventional fossil fuel or hydropower electric heating.,Unknown,"Two wells: one at 2150 depth, second drilled for injection to depth of 3030 feet. ",Unknown,Unknown,Municipal? ,Unknown,Unknown,Unknown,Replaced typical fossil-fuel or hydropower-generated electricity.,Spent thermal water is used to heat outdoor walkways and ramps before injection back into the well. The system provides for 90% of the heating requirement for the Capitol Mall complex. ,N/A ,"City of Boise, Department of Public Works.","1. The Nation's Oldest and Largest Geothermal District Heating System (2017)  2. Production, temperature, and water level data for the four heating systems in the Boise Front Low Temperature Geothermal Resource Area, 1977-1997",
Idaho,Buhl ,,,Kanaka Rapids Ranch,GDH ,Residential ,42 buidlings,"Unknown: System began operating in 1989. In 1994, the homeowners in the subdivision housing community founding the water company Homeowners' Water System, Inc., to own and operate the geothermal system. ",Residential ,"42, with potential to serve up to 120 users. ",Unknown,42,Unknown,Unknown,No. The construction of the geothermal district heating system was part of the community development project in 1989. ,Unknown,"Two wells, 900 feet deep. Open loop.  ",4.7 miles. ,Unknown,Community ,Unknown,Unknown,$500 connection fee. Each home pays $120 annual fee to use the geothermal system. ,Substitute fuels included natural gas and electricity. ,Current average growth rate is about four to five new users each year. ,"To maintain the system, the former president stated that raising revenue rates were required as current revenues were not enough. The ideal rate was $52 per month per user. ",Unknown,1. U.S. Geothermal District Heating: Barriers and Enablers (2008) ,
Idaho,Ketchum,,,Ketchum District Heating,GDH ,Community,60 buildings ,"No longer operating, unsure why. ",Mixed: residential and commercial ,60,Unknown,60,Unknown,Unknown,Unknown,Unknown,Geothermal water from Guyer Hot Springs ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1. Idaho Geothermal History: A Detailed History,
Idaho,Boise ,,,Warm Springs Water District ,GDH ,Community,300 buildings ,Operating: Well construction began 1890. System began operation in 1892.,Mixed: primarly residential ,300+ ,Unknown,300+ ,Unknown,Unknown,Unknown,Unknown,"Two production wells, 500 feet deep, supply 172-178F water. ",4 miles.,Not required of customers.,Municipal Utility: Boise Warm Springs Water District System,Unknown,Unknown,"For customers using water meters, they pay $1.18 per gallon of water used. Other customers use an orifice rate system where rates depend on the diameter of their distribution line, which vary from $380-$1200 a year.  ",Unknown,Unknown,Unknown,Boise Warm Springs Water District: manager@bwswd.com,1. The Nation's Oldest and Largest Geothermal District Heating System (2017)  2. The Inside Scoop on Boise's Geothermal Heat ,
California,San Bernardino,,,San Bernardino District Heating,GDH/4GDHC ,Community,37 buildings,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Municipality Owned,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
California,Susanville ,,,Susanville District Heating ,GDH/4GDHC ,Municipal buildings,17 buildings. ,Decomissioned. FIled for project interest in 1978. Granted US DOE Funding 1979. System operation begand 1982.,Public instution. ,N/A ,Unknown ,17,Unknown ,Unknown ,"Mixed: 14 buildings were renovated, 3 were newly constructed. ",Unknown,"Two production wells, linked to geothermal reservoir",Unknown,The project documentation noted that the city was interested in the feasibility of developing a cogeneration plant with a local community college that would provide backup power to the city's geothermal system. ,Municipality Owned,$2M (FY1981) ,Partial funding thorugh US DOE ,Unknown,Unknown,Unknown,Unknown,"City of Susanville, Water & Natural Gas Services Contact:  admin@cityofsusanville.org",1. Geo-Heat Center: City of Susanville Geothermal Energy Project (1981) 2.  Assessing California's Population of Low-Temperature Geothermal Wells for Plugging and Abandonment: Research and Analaysis on Long-Term Idle Wells (Sept. 2023) ,"Websites listed on the US Geothermal District Heating database are outdated, do not work. "
California,Canby ,,,Canby/TSOT District Heating System,GDH/4GDHC ,Community ,Unknown,"Unknown. Feasibility studies and environmental impact assessment began 2003. Project development plans released 2009. Decision to commence with the project was expected for 2013, but unsure of status. ","Mixed: residential, commercial, and public use buildings. ",N/A ,N/A ,Unknown ,Unknown ,Unknown ,Unknown ,Unknown,"Two production wells, 4,000 foot depth. Linked by 2,900 foot underground pipeline. ",Unknown,Unknown,Privately owned,$2.4M (FY2003) ,Partial funding thorugh NREL,Unknown,Unknown,Unknown,Unknown,"Canby Community Services District, Bonnie Sherer: bsherer@frontiernet.net","1. US DOE Canby Cascaded Geothermal Project Phase 1 Feasibility Report, April 2013 2. Canby Geothermal Development Project 3.  MODOC LAFCo",
California,Modoc County ,,,Modoc Joint Unified School District (Alturas) ,GDH/4GDHC ,School ,3 school campuses. ,"Operating. Original geothermal system was from 1992. Geothermal heating for three schools' buildings was completed in 2018. Building retrofits occured after the introduction of the geothermal system, completed in 2019. ",Public instution. ,N/A ,8000 students,"3 school campuses. 2018, expanded to include community medical center. Interest in expanding to community senior housing center. ",Unknown ,Unknown ,Yes. Original heating system was also geothermal. Building renovations occured after the installment of the new geothermal heating systems. ,1992 system had piping and hydronic fan-coils. The fans were later activated during the 2018 renovations and paired with split-system rooftop heat pump condensing units to provide space cooling and air-source heat pump heating. Most school buildings used coil heat exchangers. ,One production well and one injection well.,Unknown,Unknown,Municipality Owned,$5M (FY2018): Building renovations for each school campus and new geothermal piping connection to neighboring medical facility. ,California Energy Commision: $4M. Match funding: $1M ,Unknown,"Reduced the school districts' annual diesel fuel oil usage by 30,000 gallons. Reduced Last Frontier Healthcase District (LFHD) diesel fuel oil usage by 12,400 gallons per year. Equivalent to a total annual reduction of 451 metric tons of greenhouse gas emissions. ","Savings for 2018-2019, when the geothermal heating system was introduced, was about $70,000. Estimated savings for 2019-2020, when build renovations for the campuses were projected to be complete, was $85,000. The school district would also sell geothermal heat to the community medical center, resulting in approximately $20,000 annual additional revenue for the school district. MJUSD is estimated to save $6.5 million in energy costs over the life of the system, which is likely to last as long as 30 years. MJUSD plans to use the savings to fund a variety of things including: field trips to colleges, increase student access to technology, provide professional development for staff, hire additional staff to meet the increasingly complex needs of students, and fund field trips to enhance student career options. The revenues received from LFHD will go into the school district general fund and be available to purchase equipment, supplies, books, and technology. MJUSD also plans to use the heating system to help teach students about geothermal resources and their applications. Kindergarten through high school students will be able to learn about geothermal resources in the classroom and see how a functioning system operates.","There are potential opportunities to connect the district heating system to the high school campus greenhouse and a planned senior center. The project developers also noted that retrofitting the existing building systems as much as possible and using existing equipment from 1992 did reduce costs, but resulted in extended project time, required coordination between designers and contractors during the installation process, and had unexpected delays due to the need to repair or replacement of the old pipes and equipment. Prior to the building retrofits, the geothermal system only operated at 60% of its potential. ","William Teuscher, Utility Manager: wteuscher@modoc.k12.ca.us",1. CEC Modoc Joint Unified School District Geothermal Expansion Project  2. State Grants Promote Modoc County Geothermal Development (2014) ,Super interesting case where the building renovations came after the introduction of the geothermal system!
Georgia,Houston County,,,Robins Air Force Base,"Geothermal WSHP system, open loop",Military facility,"4 buildings, 500,000 sq ft",Operating: Operation 2015,Residential (appears to be error),Unknown,Unknown,"N/A, individual building systems",Unknown,Unknown,"Yes. Air chilled coolers for cooling, natural gas boilers for heating",WSHP,Stainless steel heat exchangers in lake,Unknown,,Private,Unknown,Private,N/A,N/A,80-90% energy savings for water heating,Geothermal includes desuperheater to preheat domestic hot water using rejected condenser heat. Water spray fountain in lake to cool if necessary,Unknown,,
Florida,Tallahassee,,,University of Florida/Institute of Food and Agricultural Sciences Leon County Extension,GSHP System,Office building,Individual building,Operating: Operation 2012,Residential (appears to be error - should be Commercial),276 (appears copied from previous),Unknown,7 (appears copied from previous),Unknown,Unknown,Yes. Electricity powered AC condensers,GSHP,"1 field, 3 individual loop zones, 60 vertical wells ~90 feet deep. Waste heat used (see additional info)",N/A,,Private,Unknown,"Leon County Government funds and grants, including $178k state-allocated federal funding",N/A,Over 30-year life: 1185 metric tons CO2 avoided,40% energy savings vs traditional HVAC. 1/10 maintenance costs. Borefield virtually zero maintenance except annual fluid test,Construction took 6 weeks. Added with solar PV and lighting retrofits. Uses recovered waste heat from GSHP for kitchen hot water,Maggie Theriot: theriotm@leoncountyfl.gov,,
Georgia,Albany,,,Marine Corps Logistics Base–Albany,GSHP System,Military Base,"Individual building: 3-story, 168,000 sq ft",Operating: Operation 2015,Commercial,N/A,~800,1,Unknown,Unknown,Yes. Two centrifugal chillers and two condensing boilers,"5 GSHP, modular","1 field, 306 boreholes, 210 feet deep, concentrically zoned. Waste heat (see additional info)",N/A,,Private,Total unknown. System installation: $5.1M,Private,N/A,Unknown,47.5% energy reduction vs conventional HVAC. 15.1% reduction vs conventional geothermal without BTES. 30% reduced electricity bill. 20% lower installation cost than conventional closed-loop GSHP,"GSHP with two adiabatic dry coolers replacing cooling tower. Store cold winter air for summer, reject excess summer heat. Saved 4.2M gallons HVAC water in first year, eliminated water treatment system",Timothy Tetreault: timothy.j.tetreault.civ@mail.mil,,
Illinois,Chicago,,,PCC Austin Family Health Center,GSHP system,Medical Facility,"1 building, 18,300 sq ft","Operating: Construction 2007, Operation 2008",Commercial,N/A,N/A,1,Unknown,Unknown,"No, greenfield project",GSHP,"1 field, 7 boreholes, 650 feet deep each. N/A waste heat",N/A,,Private,Unknown,Private,N/A,Unknown,"Projected 180,000 kWh/year energy savings vs air-source heat pump with electric resistance backup (ASHRAE 90.1). Projected 57% energy cost savings vs air-source system","Energy recovery ventilators reduced calculated thermal load ~25-30%, reducing required equipment and loop field capacity",Mark Nussbaum: mark@ace-oakpark.com,,
Kentucky,Prospect,,,Norton Commons,GSHP system,Community,"1,200 buildings, 500,000 sq ft commercial space",Operating: Operation 2018,Mixed use: residential and commercial,1200,Unknown,"N/A, GSHP for each residential building","60,000 Btu/hr","60,000 Btu/hr","No, greenfield project","GSHP, borehole for each house",N/A,N/A,,Private,Unknown. Costs integrated into construction (greenfield),Private. Residential Renewable Energy Tax Credit,N/A,Unknown,Avoided excessive sound pollution. Houses designed 6 feet apart. Traditional HVAC condensers/compressors (60-65 dB) would cause sound pollution,N/A,Marilyn Patterson: MPatterson@NortonCommons.com,,
Michigan,Monroe County,,,Ida Public Schools and Veregy ,GSHP system for individual building,K-12 School. ,2 buildings. ,Operating: Construction began 2023. Anticipated completion 2024. ,Public institution,N/A ,N/A ,N/A ,Unknown,Unknown ,"Yes. 49-year old boilers for heating, air handling equipment for cooling.",GSHPs. ,"2 borefields. 172 total boreholes, 300 feet deep. ",N/A ,199 KBTU condensing boilers,Public institution,Estimated contract amount: $8M,IRA Tax Credit: $2.86M ,N/A ,Unknown. ,"1st Year Guaranteed Energy & Operations Savings: $298,460","HVAC systems for these schools, is used until failed, would likely force emergency school closings and the displacement of students during colder winter months. The new geothermal system was able to replace the HVAC system without increasing utility costs. ",VEREGY.COM: 800.460.0995,1. Michigan in Partnership with Ida Public Schools ,
Michigan,Farmington Hills ,,,Farmington Hills JST Corporation Office Park ,GSHP system for individual building ,Office building.,1 building. ,Under Construction.   ,Commercial ,N/A ,N/A ,1,Unknown ,Unknown ,No. ,GSHPs. ,"72 boreholes, 455 feet deep. ",16 miles of distribution pipe. ,,Private ,Unknown. ,Unknown. ,N/A ,Unknown.,Unknown.,"The building is expected to exceed Diamond LEED standards. The geothermal system also faced installment challenges as the land could not be cleared or trees could not be cut down, making it logistically complex to locate the wells. ",Unknown. ,1. How Culture and Nature Shaped the Vision for One of Michigan's Most Sustainable Engineering Projects (2025) 2.  Farmington Hills development in forst is greenest build in Michigan (2023) ,
West Virginia,Ranson,,,"Rototec LLC, Ranson Elementary School ",GSHP system for individual building ,School,"1 building, 70,580, single floor. ",Operating. ,Commercial ,N/A ,"450 students, with plans to expand to 600. ",1,Unknown,Unknown,"Mixed. Some of the buildings were originally built in the 2000s, with some new buildings being constructed. All new buildings are planned to have energy efficient building envelopes, using insulated concrete forms for the exterior walls. ",Unknown ,"1 borefield, 72 geothermal wells. ",N/A ,Unknown,Public institution. ,Total cost of the geothermal system is unknown. The construction of the new buildings had an estimated budget of $34M ,Unknown,N/A ,Unknown,The geothermal HVAC system was able to accomodate the HVAC needs of the future building additions. ,,"Developer, Rototec: info@rototecusa.com ","1. New Ranson Elementary Dedicated (2024) 2.  ROTOTEC Geothermal Drilling at Ranson Elementary School, WV 3. New Elementary School for Jefferson County (2023) ",The developer noted that they collaborated with partners and stakeholders to ensure efficient project execution and adherence to quality standards - could be interesting to try and look into their community engagement process? 
Michigan,Farmington Hills ,,,Farmington Hills City Hall ,GSHP system for individual building. ,Government/municipal building ,"1 building. 52,000 square feet. ",Operating: Construction began 2007. Consturction ended 2010. ,Public institution,N/A ,N/A ,1,Total energy use of 2142 MMBtu,,Yes. Gas heating system. ,GSHPs. ,Unknown number of wells. 300 feet deep. ,N/A ,,Public institution,Estimated $6-8M for entire renovation and installment of GSHPs. ,Unknown. ,N/A ,Unknown.,Unknown ,,,1. The energy-saving story of Farmington Hills' City Hall (2021) 2. The Oakland Press: City Hall redesign will save energy and increase space in Farmington Hills (2008),
Michigan,Sterling Heights ,,,Sterling Heights Parks and Recreation ,GSHP system for individual building. ,Government/municipal building ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1. IGSHPA Commerical Projects ,Part of Strategic Energy Solution's Government and Municipality Project Portfolio 
Michigan,Ferndale ,,,43rd District Courthouse ,GSHP system for individual building. ,Government/municipal building ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1. IGSHPA Commerical Projects ,Part of Strategic Energy Solution's Government and Municipality Project Portfolio 
Michigan,Coldwater ,,,Henry L. Brown Municipal Building ,GSHP system for individual building. ,Government/municipal building ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1. IGSHPA Commerical Projects ,Part of Strategic Energy Solution's Government and Municipality Project Portfolio 
Michigan,Lenox ,,,Lenox Township Hall ,GSHP system for individual building. ,Government/municipal building ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1. IGSHPA Commerical Projects ,Part of Strategic Energy Solution's Government and Municipality Project Portfolio 
